"","pathway","N","DE","P.DE","FDR","mean_change_PM_vs_BM","dir","subset"
"25","GO:0044463 cell projection part",618,429,2.15925930085597e-07,0.000143394422132304,-0.00749459752274119,"hypo","Cellular components"
"26","GO:0032559 adenyl ribonucleotide binding",1490,966,2.18764648208721e-07,0.000143394422132304,-0.00640095319412969,"hypo","Molecular function"
"27","GO:0030554 adenyl nucleotide binding",1494,968,2.2533170745968e-07,0.000143394422132304,-0.00635901803156542,"hypo","Molecular function"
"28","GO:0016772 transferase activity, transferring phosphorus-containing groups",889,596,2.55601486493405e-07,0.000150375950217531,-0.00653156995298158,"hypo","Molecular function"
"29","GO:0005524 ATP binding",1461,947,2.6039262657034e-07,0.000150375950217531,-0.00642684448604255,"hypo","Molecular function"
"30","GO:0043231 intracellular membrane-bounded organelle",9529,5493,2.62558404523683e-07,0.000150375950217531,-0.00355068412047803,"hypo","Cellular components"
"31","GO:0097458 neuron part",728,503,3.16635712655507e-07,0.000175497897253127,-0.0078615923868875,"hypo","Cellular components"
"32","GO:0004672 protein kinase activity",594,415,4.02443972877562e-07,0.000216087260686946,-0.00718783085907737,"hypo","Molecular function"
"33","GO:0045202 synapse",492,351,5.17568597444597e-07,0.00026948071640282,-0.00815279742607345,"hypo","Cellular components"
"34","GO:0000902 cell morphogenesis",943,642,5.75726018832423e-07,0.000285002232960171,-0.00499919376763488,"hypo","Biological processes"
"35","GO:0035637 multicellular organismal signaling",767,522,5.8055396074997e-07,0.000285002232960171,-0.00821013340657475,"hypo","Biological processes"
"36","GO:0044424 intracellular part",12060,6917,8.78303926654643e-07,0.000419194946327224,-0.0046398760798602,"hypo","Cellular components"
"37","GO:0043229 intracellular organelle",10491,6020,1.2108420798062e-06,0.000558400556810378,-0.00425441293480853,"hypo","Cellular components"
"38","GO:0043226 organelle",10521,6037,1.26085002693861e-06,0.000558400556810378,-0.00425587531865592,"hypo","Cellular components"
"39","GO:0006996 organelle organization",2150,1336,1.27439883817909e-06,0.000558400556810378,-0.00375939030306731,"hypo","Biological processes"
"40","GO:0005622 intracellular",12294,7049,1.35187209302479e-06,0.000558400556810378,-0.00473588889210054,"hypo","Cellular components"
"41","GO:0023051 regulation of signaling",2015,1283,1.39009302150329e-06,0.000558400556810378,-0.00467236066120848,"hypo","Biological processes"
"42","GO:0004674 protein serine/threonine kinase activity",433,307,1.39049061499013e-06,0.000558400556810378,-0.00619824259765214,"hypo","Molecular function"
"43","GO:0042995 cell projection",1204,793,1.40619554200807e-06,0.000558400556810378,-0.0070361617690833,"hypo","Cellular components"
"44","GO:0010646 regulation of cell communication",2021,1287,1.42996301359892e-06,0.000558400556810378,-0.00477617404594354,"hypo","Biological processes"
"45","GO:0000904 cell morphogenesis involved in differentiation",697,486,2.14836235094753e-06,0.000820292486977342,-0.004461766634408,"hypo","Biological processes"
"46","GO:0044422 organelle part",6338,3691,2.57489807021193e-06,0.000961780405269159,-0.00435983418934272,"hypo","Cellular components"
"47","GO:0044260 cellular macromolecule metabolic process",6544,3804,2.63372111668174e-06,0.000962821196315441,-0.00267812644409526,"hypo","Biological processes"
"48","GO:0007165 signal transduction",4088,2470,2.89024278299442e-06,0.00101562811590612,-0.00577042193045093,"hypo","Biological processes"
"49","GO:0044707 single-multicellular organism process",5382,3206,2.89639027350714e-06,0.00101562811590612,-0.0059467801099946,"hypo","Biological processes"
"50","GO:0032501 multicellular organismal process",5579,3309,3.08724884770707e-06,0.00106090219402606,-0.00580423316444286,"hypo","Biological processes"
"51","GO:0006796 phosphate-containing compound metabolic process",2453,1520,4.06845905405484e-06,0.00131823099476215,-0.00517193496120258,"hypo","Biological processes"
"52","GO:0043234 protein complex",3303,1971,4.11097265380937e-06,0.00131823099476215,-0.0045731659072971,"hypo","Cellular components"
"53","GO:0022008 neurogenesis",1133,760,4.11576571687576e-06,0.00131823099476215,-0.00423584678270446,"hypo","Biological processes"
"54","GO:0044446 intracellular organelle part",6236,3627,4.14296785689421e-06,0.00131823099476215,-0.00432660941642439,"hypo","Cellular components"
"55","GO:0016740 transferase activity",1709,1063,4.26487682098783e-06,0.00132639932124992,-0.0065708484144583,"hypo","Molecular function"
"56","GO:0019226 transmission of nerve impulse",745,505,4.38763914475383e-06,0.00132639932124992,-0.00807840552497468,"hypo","Biological processes"
"57","GO:0043412 macromolecule modification",2590,1596,4.40023055006665e-06,0.00132639932124992,-0.00425564989832937,"hypo","Biological processes"
"58","GO:0048856 anatomical structure development",3909,2391,4.48354557427694e-06,0.00132821172512459,-0.00487185009569024,"hypo","Biological processes"
"59","GO:0006464 cellular protein modification process",2488,1540,4.68713821952538e-06,0.00134224014813142,-0.00432008227020054,"hypo","Biological processes"
"60","GO:0036211 protein modification process",2488,1540,4.68713821952538e-06,0.00134224014813142,-0.00432008227020054,"hypo","Biological processes"
"61","GO:0005085 guanyl-nucleotide exchange factor activity",182,142,4.97754839407732e-06,0.00140203666404978,-0.0100398739514836,"hypo","Molecular function"
"62","GO:0031323 regulation of cellular metabolic process",4367,2594,5.16891899230337e-06,0.00142551304997527,-0.00317438693597834,"hypo","Biological processes"
"63","GO:0006793 phosphorus metabolic process",2500,1545,5.25536924898441e-06,0.00142551304997527,-0.00508170594717707,"hypo","Biological processes"
"64","GO:0048518 positive regulation of biological process",3447,2096,5.30979136296224e-06,0.00142551304997527,-0.00365963650751057,"hypo","Biological processes"
"65","GO:0048858 cell projection morphogenesis",673,469,5.60165199297091e-06,0.00148073206989579,-0.00454420831185185,"hypo","Biological processes"
"66","GO:0048523 negative regulation of cellular process",2884,1767,5.91735222775705e-06,0.00154048402995942,-0.00321798449360529,"hypo","Biological processes"
"67","GO:0031175 neuron projection development",693,483,6.28838471509764e-06,0.00161264218171355,-0.00464643682299561,"hypo","Biological processes"
"68","GO:0048522 positive regulation of cellular process",3143,1919,6.63283395197177e-06,0.00167104484437698,-0.0035579966603573,"hypo","Biological processes"
"69","GO:0007409 axonogenesis",513,366,6.71063288685903e-06,0.00167104484437698,-0.00454562378473292,"hypo","Biological processes"
"70","GO:0003824 catalytic activity",5229,3066,7.14081470349825e-06,0.00175276397479296,-0.00598367668843593,"hypo","Molecular function"
"71","GO:0048731 system development",3387,2082,7.36820688264651e-06,0.00178310606560046,-0.00495539570653267,"hypo","Biological processes"
"72","GO:0051179 localization",4201,2526,7.76428101353181e-06,0.00185285939409033,-0.00590009996767988,"hypo","Biological processes"
"73","GO:0050896 response to stimulus",6471,3775,8.2789722530876e-06,0.00194862056510344,-0.00619524923458129,"hypo","Biological processes"
"74","GO:0046872 metal ion binding",3898,2304,8.64337871517528e-06,0.0019815062847695,-0.00556523354767366,"hypo","Molecular function"
"75","GO:0005088 Ras guanyl-nucleotide exchange factor activity",112,93,8.64934066800793e-06,0.0019815062847695,-0.0103644179335797,"hypo","Molecular function"
"76","GO:0044444 cytoplasmic part",6584,3848,9.02297726025543e-06,0.00203990520112775,-0.00455395644069082,"hypo","Cellular components"
"77","GO:0019899 enzyme binding",1086,708,9.32981382381946e-06,0.00205790499444622,-0.00308157170251048,"hypo","Molecular function"
"78","GO:0043168 anion binding",2341,1446,9.34213651302556e-06,0.00205790499444622,-0.00627286127133361,"hypo","Molecular function"
"79","GO:0005911 cell-cell junction",291,207,9.65031262030419e-06,0.00209888191698818,-0.00753152904439741,"hypo","Cellular components"
"80","GO:0016310 phosphorylation",1271,813,1.01063946110498e-05,0.00217060090258823,-0.00500916001863035,"hypo","Biological processes"
"81","GO:0006468 protein phosphorylation",1127,729,1.02733245591366e-05,0.00217921311821092,-0.00542973866298606,"hypo","Biological processes"
"82","GO:0007399 nervous system development",1722,1116,1.04821633564191e-05,0.00219440300303187,-0.00397934276342335,"hypo","Biological processes"
"83","GO:0005829 cytosol",2373,1459,1.060036370921e-05,0.00219440300303187,-0.00378260615578447,"hypo","Cellular components"
"84","GO:0008092 cytoskeletal protein binding",631,433,1.09021694790866e-05,0.00223001280940078,-0.0051348658969478,"hypo","Molecular function"
"85","GO:0032502 developmental process",4435,2684,1.11672466773102e-05,0.00225736038128876,-0.00515863158784936,"hypo","Biological processes"
"86","GO:0016568 chromatin modification",437,299,1.17346660852868e-05,0.00233338898393716,-0.00293413822475508,"hypo","Biological processes"
"87","GO:0048666 neuron development",798,547,1.18149715750514e-05,0.00233338898393716,-0.00490764990406795,"hypo","Biological processes"
"88","GO:0005089 Rho guanyl-nucleotide exchange factor activity",75,65,1.20699133272557e-05,0.00235665057714668,-0.0132438920898886,"hypo","Molecular function"
"89","GO:0032989 cellular component morphogenesis",1003,672,1.27344966290735e-05,0.00245847327057012,-0.00524732226762854,"hypo","Biological processes"
"90","GO:0044428 nuclear part",2482,1502,1.30319021586409e-05,0.00246794352522378,-0.00234161365623503,"hypo","Cellular components"
"91","GO:0048583 regulation of response to stimulus",2297,1419,1.30708218365361e-05,0.00246794352522378,-0.00468469238926228,"hypo","Biological processes"
"92","GO:0048667 cell morphogenesis involved in neuron differentiation",562,397,1.34499188459977e-05,0.00251191853926013,-0.00469049766166364,"hypo","Biological processes"
"93","GO:0030695 GTPase regulator activity",433,306,1.39499761386019e-05,0.00257729559154255,-0.00841780377770826,"hypo","Molecular function"
"94","GO:0032549 ribonucleoside binding",1800,1128,1.43017115264079e-05,0.0026141702919866,-0.00588345620450802,"hypo","Molecular function"
"95","GO:0032990 cell part morphogenesis",685,474,1.46590009559731e-05,0.00265127320447926,-0.00445971206004181,"hypo","Biological processes"
"96","GO:0001883 purine nucleoside binding",1799,1127,1.49899404934205e-05,0.00268159939698225,-0.0057860050823997,"hypo","Molecular function"
"97","GO:0007275 multicellular organismal development",3943,2397,1.51388162907274e-05,0.00268159939698225,-0.00517632113864131,"hypo","Biological processes"
"98","GO:0007411 axon guidance",356,261,1.54524247964765e-05,0.00270922002911284,-0.00473344874163492,"hypo","Biological processes"
"99","GO:0032550 purine ribonucleoside binding",1796,1125,1.56132764985203e-05,0.00270977087674318,-0.00583343389904999,"hypo","Molecular function"
"100","GO:0017076 purine nucleotide binding",1828,1144,1.66646119329738e-05,0.00286331362232356,-0.00591701134180879,"hypo","Molecular function"
"101","GO:0060589 nucleoside-triphosphatase regulator activity",444,312,1.69380089453335e-05,0.00288147395741307,-0.00843671377215289,"hypo","Molecular function"
"102","GO:0048519 negative regulation of biological process",3150,1912,1.76652852374062e-05,0.00297573461714817,-0.00359521542419054,"hypo","Biological processes"
"103","GO:0001882 nucleoside binding",1810,1133,1.79376378775923e-05,0.00299227664090088,-0.00591751063077564,"hypo","Molecular function"
"104","GO:0030182 neuron differentiation",982,661,1.82636841941566e-05,0.0030173713636923,-0.00405986739746472,"hypo","Biological processes"
"105","GO:0035639 purine ribonucleoside triphosphate binding",1787,1119,1.84783423036547e-05,0.00302376073772757,-0.00587137951211626,"hypo","Molecular function"
"106","GO:0043169 cation binding",3988,2349,1.99740533291477e-05,0.00323768098397562,-0.00559446534301082,"hypo","Molecular function"
"107","GO:0032555 purine ribonucleotide binding",1822,1140,2.11602477022031e-05,0.00339790071046032,-0.00585890256366817,"hypo","Molecular function"
"108","GO:0048812 neuron projection morphogenesis",567,400,2.14394602191041e-05,0.00341085931004302,-0.00469129881376805,"hypo","Biological processes"
"109","GO:0015629 actin cytoskeleton",364,255,2.34353902326837e-05,0.00369419151355937,-0.00683761405980443,"hypo","Cellular components"
"110","GO:0032553 ribonucleotide binding",1837,1148,2.44793556592279e-05,0.0038236753539714,-0.00586525724533827,"hypo","Molecular function"
"111","GO:0080090 regulation of primary metabolic process",4308,2545,2.70415406037236e-05,0.00418583559147008,-0.00321220085219092,"hypo","Biological processes"
"112","GO:0044238 primary metabolic process",8650,4952,2.74805656281974e-05,0.00421581320199721,-0.00403263686439498,"hypo","Biological processes"
"113","GO:0048646 anatomical structure formation involved in morphogenesis",1605,1038,2.94486147199954e-05,0.00447775308069877,-0.00462466480131972,"hypo","Biological processes"
"114","GO:0051056 regulation of small GTPase mediated signal transduction",362,259,2.98560220741127e-05,0.00449987869541583,-0.00756934674792896,"hypo","Biological processes"
"115","GO:0051020 GTPase binding",146,114,3.12956796214082e-05,0.00463760198850288,-0.00629234290292159,"hypo","Molecular function"
"116","GO:0048699 generation of neurons",1066,712,3.16937132907077e-05,0.00463760198850288,-0.00414410695326379,"hypo","Biological processes"
"117","GO:0008104 protein localization",1592,976,3.18351503131522e-05,0.00463760198850288,-0.00319311579881801,"hypo","Biological processes"
"118","GO:0005543 phospholipid binding",482,338,3.18494374719672e-05,0.00463760198850288,-0.00839739568303101,"hypo","Molecular function"
"119","GO:0008150 biological_process",14395,8147,3.43850587094165e-05,0.0049067351649423,-0.00547698348620891,"hypo","Molecular function"
"120","GO:0048468 cell development",1491,968,3.44654978330185e-05,0.0049067351649423,-0.00426654753435251,"hypo","Biological processes"
"121","GO:0043198 dendritic shaft",29,28,3.45574454318053e-05,0.0049067351649423,-0.00915854631024365,"hypo","Cellular components"
"122","GO:0045935 positive regulation of nucleobase-containing compound metabolic process",1191,756,3.49023040390448e-05,0.0049067351649423,-0.00204743529296221,"hypo","Biological processes"
"123","GO:0034641 cellular nitrogen compound metabolic process",5522,3196,3.51256213064779e-05,0.0049067351649423,-0.00294445954670421,"hypo","Biological processes"
"124","GO:0071704 organic substance metabolic process",8889,5079,4.14166044632229e-05,0.00573887175715399,-0.00405204728808026,"hypo","Biological processes"
"125","GO:0006139 nucleobase-containing compound metabolic process",5143,2983,4.23265854103581e-05,0.00578159459712208,-0.00273403006327844,"hypo","Biological processes"
"126","GO:0036094 small molecule binding",2509,1529,4.23979117237448e-05,0.00578159459712208,-0.00548270842226463,"hypo","Molecular function"
"127","GO:0032991 macromolecular complex",3892,2265,4.39490709417611e-05,0.0059459286371759,-0.00391769298586726,"hypo","Cellular components"
"128","GO:0005856 cytoskeleton",1772,1089,4.57870364952574e-05,0.00614619422704307,-0.0076348047890777,"hypo","Cellular components"
"129","GO:0007268 synaptic transmission",655,441,4.62851571436035e-05,0.00616489589179377,-0.00849778004830532,"hypo","Biological processes"
"130","GO:0015630 microtubule cytoskeleton",867,560,4.96428433296635e-05,0.00656125641607906,-0.00506350640760066,"hypo","Cellular components"
"131","GO:0008152 metabolic process",9346,5325,5.7284604037057e-05,0.00751346615698254,-0.00418534117184417,"hypo","Biological processes"
"132","GO:0031267 small GTPase binding",134,105,6.04945004308196e-05,0.00787436747274501,-0.00639247210834723,"hypo","Molecular function"
"133","GO:0006807 nitrogen compound metabolic process",5870,3392,6.09618279032133e-05,0.00787553478972189,-0.00320010219379617,"hypo","Biological processes"
"134","GO:0043005 neuron projection",633,432,6.19401151904878e-05,0.00794220193435046,-0.00864193699189314,"hypo","Cellular components"
"135","GO:0019219 regulation of nucleobase-containing compound metabolic process",3379,2005,6.33256922039214e-05,0.00805971884035391,-0.00272163694144021,"hypo","Biological processes"
"136","GO:0051171 regulation of nitrogen compound metabolic process",3462,2052,6.45038875086674e-05,0.00814930731745532,-0.00274040371985092,"hypo","Biological processes"
"137","GO:0051173 positive regulation of nitrogen compound metabolic process",1216,768,6.57072282681232e-05,0.00824074157739338,-0.00223986466440741,"hypo","Biological processes"
"138","GO:0034613 cellular protein localization",966,607,6.68176882618288e-05,0.0083192863747445,-0.00236808951015053,"hypo","Biological processes"
"139","GO:0022607 cellular component assembly",1542,950,6.9576783661654e-05,0.00860049134442115,-0.00397665972682553,"hypo","Biological processes"
"140","GO:0019222 regulation of metabolic process",4808,2822,7.07600004765835e-05,0.00868427377277613,-0.00321205717188258,"hypo","Biological processes"
"141","GO:0033267 axon part",124,97,7.2539113727871e-05,0.0088394826388105,-0.00947335743817823,"hypo","Cellular components"
"142","GO:0046483 heterocycle metabolic process",5294,3061,7.46000766868677e-05,0.00902660927911099,-0.00293267902735206,"hypo","Biological processes"
"143","GO:0070727 cellular macromolecule localization",970,609,7.52046239518609e-05,0.00903612481636975,-0.00235463265526701,"hypo","Biological processes"
"144","GO:0003779 actin binding",353,249,7.88868388967008e-05,0.00941273379113273,-0.00541856359410901,"hypo","Molecular function"
"145","GO:0000166 nucleotide binding",2366,1445,8.28945035011492e-05,0.00982271282177066,-0.00520864996980513,"hypo","Molecular function"
"146","GO:0051015 actin filament binding",69,58,8.41814219783988e-05,0.00990688487967704,-0.0103037522796505,"hypo","Molecular function"
"147","GO:0048513 organ development",2398,1468,9.18751259864816e-05,0.0106889764243913,-0.00479650014547266,"hypo","Biological processes"
"148","GO:1901265 nucleoside phosphate binding",2367,1445,9.20712670707671e-05,0.0106889764243913,-0.00521313919860311,"hypo","Molecular function"
"149","GO:1901363 heterocyclic compound binding",5224,3028,9.55668724134751e-05,0.0109655194229515,-0.0037295790710406,"hypo","Molecular function"
"150","GO:0009893 positive regulation of metabolic process",2015,1243,9.57297121081782e-05,0.0109655194229515,-0.00272212117780787,"hypo","Biological processes"
"151","GO:0031325 positive regulation of cellular metabolic process",1913,1182,9.68402406184173e-05,0.0110192649954016,-0.00290488235618473,"hypo","Biological processes"
"152","GO:0006366 transcription from RNA polymerase II promoter",1419,889,0.000100067834673075,0.011311615364163,-0.00207483773312963,"hypo","Biological processes"
"153","GO:0044456 synapse part",356,250,0.000109461696388495,0.0122926200480204,-0.00873935812006176,"hypo","Cellular components"
"154","GO:0009966 regulation of signal transduction",1773,1116,0.000114494307688415,0.0127010543056447,-0.00458528977303674,"hypo","Biological processes"
"155","GO:0010648 negative regulation of cell communication",667,441,0.000114577081677042,0.0127010543056447,-0.00379151789140692,"hypo","Biological processes"
"156","GO:0010468 regulation of gene expression",3322,1964,0.000116015748382278,0.0127780935173353,-0.00226473726108096,"hypo","Biological processes"
"157","GO:0060255 regulation of macromolecule metabolic process",4154,2440,0.000124869352560894,0.0136656383165687,-0.00277230228643182,"hypo","Biological processes"
"158","GO:0044267 cellular protein metabolic process",3201,1912,0.000126242985017374,0.0137285251175223,-0.00306289009128653,"hypo","Biological processes"
"159","GO:0070013 intracellular organelle lumen",2673,1589,0.000135127756733425,0.0146022963282624,-0.00256007277531976,"hypo","Cellular components"
"160","GO:0051254 positive regulation of RNA metabolic process",1066,678,0.000137461491748831,0.0147616459451776,-0.0018568546722462,"hypo","Biological processes"
"161","GO:0006725 cellular aromatic compound metabolic process",5304,3061,0.000142501792892938,0.0152078621458786,-0.00300749296311027,"hypo","Biological processes"
"162","GO:0033036 macromolecule localization",1856,1122,0.000144659920604407,0.0153428812087958,-0.00376690424366875,"hypo","Biological processes"
"163","GO:0005083 small GTPase regulator activity",290,209,0.000148008637054241,0.0156017447967238,-0.0096232487579966,"hypo","Molecular function"
"164","GO:0006357 regulation of transcription from RNA polymerase II promoter",1244,786,0.000171183677713122,0.0178788769083224,-0.00231310960322913,"hypo","Biological processes"
"165","GO:0051128 regulation of cellular component organization",1251,798,0.000171692159811035,0.0178788769083224,-0.00469739042839763,"hypo","Biological processes"
"166","GO:0031252 cell leading edge",262,190,0.000174208470080105,0.017969331842204,-0.0051813040786505,"hypo","Cellular components"
"167","GO:0097159 organic cyclic compound binding",5295,3060,0.000176176374983229,0.017969331842204,-0.00379538367241829,"hypo","Molecular function"
"168","GO:0007010 cytoskeleton organization",804,526,0.000176323709401508,0.017969331842204,-0.00515691834095354,"hypo","Biological processes"
"169","GO:0048869 cellular developmental process",2841,1744,0.00017674409738869,0.017969331842204,-0.00493306621629441,"hypo","Biological processes"
"170","GO:0043228 non-membrane-bounded organelle",3124,1836,0.000182326451197788,0.0183200765174292,-0.00502001865614916,"hypo","Cellular components"
"171","GO:0043232 intracellular non-membrane-bounded organelle",3124,1836,0.000182326451197788,0.0183200765174292,-0.00502001865614916,"hypo","Cellular components"
"172","GO:0010604 positive regulation of macromolecule metabolic process",1873,1157,0.000196916659260529,0.0196710583686884,-0.00237308830198526,"hypo","Biological processes"
"173","GO:0045893 positive regulation of transcription, DNA-dependent",1016,647,0.000199172187586716,0.019781367208757,-0.00192706843509255,"hypo","Biological processes"
"174","GO:0044085 cellular component biogenesis",1683,1020,0.000203038822296578,0.0200495002568954,-0.00376323746542169,"hypo","Biological processes"
"175","GO:0043233 organelle lumen",2718,1611,0.000205757777392788,0.0202018864637879,-0.0025850418399024,"hypo","Cellular components"
"176","GO:0031328 positive regulation of cellular biosynthetic process",1283,801,0.000209268630868867,0.0203358874099594,-0.00209819259869851,"hypo","Biological processes"
"177","GO:0031974 membrane-enclosed lumen",2767,1636,0.000209489702686696,0.0203358874099594,-0.0025627032960877,"hypo","Cellular components"
"178","GO:0023057 negative regulation of signaling",664,437,0.000212463969048904,0.0205087411022375,-0.0035149198229208,"hypo","Biological processes"
"179","GO:0010628 positive regulation of gene expression",1101,698,0.000229106764314283,0.0219916895220559,-0.00161496155326082,"hypo","Biological processes"
"180","GO:0043170 macromolecule metabolic process",7232,4140,0.000245245534764711,0.0233223682002453,-0.0033279989000961,"hypo","Biological processes"
"181","GO:0010467 gene expression",4331,2509,0.000245684358296148,0.0233223682002453,-0.00169874812432522,"hypo","Biological processes"
"182","GO:0035556 intracellular signal transduction",1863,1156,0.000249103304906349,0.0235084843017336,-0.00470643946499601,"hypo","Biological processes"
"183","GO:0007166 cell surface receptor signaling pathway",2319,1413,0.000250381365802424,0.0235084843017336,-0.00637985373184007,"hypo","Biological processes"
"184","GO:0009058 biosynthetic process",5154,2980,0.000261599157795258,0.0244228334116227,-0.00286572704114273,"hypo","Biological processes"
"185","GO:0009653 anatomical structure morphogenesis",2058,1294,0.00026296264585905,0.0244228334116227,-0.00434442785289609,"hypo","Biological processes"
"186","GO:0048585 negative regulation of response to stimulus",770,496,0.000271010215701058,0.0250349329364279,-0.00370733730341958,"hypo","Biological processes"
"187","GO:0044249 cellular biosynthetic process",5006,2896,0.000299642856141991,0.0274004437774597,-0.00281274755881324,"hypo","Biological processes"
"188","GO:0016070 RNA metabolic process",3850,2236,0.000299806974168456,0.0274004437774597,-0.00197873965064403,"hypo","Biological processes"
"189","GO:0051276 chromosome organization",696,437,0.000306527767741936,0.0278664555838198,-0.00294600733634802,"hypo","Biological processes"
"190","GO:0009891 positive regulation of biosynthetic process",1304,810,0.000319181707029025,0.0288141964676808,-0.00202822867352112,"hypo","Biological processes"
"191","GO:0031326 regulation of cellular biosynthetic process",3304,1941,0.000320306805105752,0.0288141964676808,-0.00244631833428257,"hypo","Biological processes"
"192","GO:0090304 nucleic acid metabolic process",4366,2516,0.000322111857373248,0.028825655903058,-0.00218482951073862,"hypo","Biological processes"
"193","GO:1901576 organic substance biosynthetic process",5087,2941,0.000334776605031557,0.0297881862798501,-0.00284485627124456,"hypo","Biological processes"
"194","GO:0040011 locomotion",1260,795,0.000336335009794606,0.0297881862798501,-0.00630762671746805,"hypo","Biological processes"
"195","GO:0005654 nucleoplasm",1481,908,0.0003406503377944,0.0300156620717096,-0.00113998041149603,"hypo","Cellular components"
"196","GO:0046983 protein dimerization activity",906,562,0.000368042392426588,0.032263797891192,-0.00489451096627274,"hypo","Molecular function"
"197","GO:0005912 adherens junction",197,146,0.00037570074250021,0.0327679703433432,-0.00667171037231477,"hypo","Cellular components"
"198","GO:0051234 establishment of localization",3408,2025,0.000386483611227924,0.0335145657739215,-0.00595190318872478,"hypo","Biological processes"
"199","GO:0003008 system process",1702,1031,0.000388161947911208,0.0335145657739215,-0.00856348344805533,"hypo","Biological processes"
"200","GO:0031324 negative regulation of cellular metabolic process",1341,832,0.000395791119183579,0.0340024150490612,-0.001315566736992,"hypo","Biological processes"
"201","GO:0070161 anchoring junction",215,157,0.000401908867600695,0.034356209766742,-0.00705209228195908,"hypo","Cellular components"
"202","GO:0030154 cell differentiation",2670,1637,0.000411136258437447,0.0349257512198067,-0.00490213128306759,"hypo","Biological processes"
"203","GO:1901360 organic cyclic compound metabolic process",5510,3160,0.000412636916402093,0.0349257512198067,-0.00321912955091691,"hypo","Biological processes"
"204","GO:0042734 presynaptic membrane",49,42,0.000424859670291239,0.0356229653403601,-0.01489120279154,"hypo","Cellular components"
"205","GO:0071495 cellular response to endogenous stimulus",723,466,0.000425020829634141,0.0356229653403601,-0.00339563306884536,"hypo","Biological processes"
"206","GO:0044271 cellular nitrogen compound biosynthetic process",3668,2137,0.000428660071987367,0.0357036853865344,-0.00241488593804593,"hypo","Biological processes"
"207","GO:0016570 histone modification",270,186,0.000430139848388582,0.0357036853865344,-0.00185543302676724,"hypo","Biological processes"
"208","GO:0044765 single-organism transport",2757,1645,0.000432683384914674,0.0357421438442497,-0.0057792042202327,"hypo","Biological processes"
