"","pathway","N","DE","P.DE","FDR","mean_change_PH_vs_BH","dir","subset"
"18","GO:0048646 anatomical structure formation involved in morphogenesis",1605,920,3.2311530389334e-05,0.0308431508416409,-0.00398024398101456,"hypo","Biological processes"
"19","GO:0048856 anatomical structure development",3909,2083,3.41698072036825e-05,0.0309002961775617,-0.00317348548681165,"hypo","Biological processes"
"20","GO:0048471 perinuclear region of cytoplasm",471,279,4.46187171316092e-05,0.0370463062723415,-0.000321927135144847,"hypo","Cellular components"
"21","GO:0030154 cell differentiation",2670,1450,4.85071716961014e-05,0.0370463062723415,-0.00359276734872843,"hypo","Biological processes"
"22","GO:0071840 cellular component organization or biogenesis",4252,2230,4.91995990301391e-05,0.0370463062723415,-0.00147225446021246,"hypo","Biological processes"
"23","GO:0000904 cell morphogenesis involved in differentiation",697,430,5.01257128341972e-05,0.0370463062723415,-0.00345799531787355,"hypo","Biological processes"
"24","GO:0032989 cellular component morphogenesis",1003,595,5.17466738759281e-05,0.0370463062723415,-0.00334981131515318,"hypo","Biological processes"
"25","GO:0000989 transcription factor binding transcription factor activity",499,295,5.63170967291572e-05,0.0387056142400151,-0.00338166733852475,"hypo","Molecular function"
"26","GO:0006464 cellular protein modification process",2488,1336,6.92879002308305e-05,0.0440927667320789,-0.00097462614348786,"hypo","Biological processes"
"27","GO:0036211 protein modification process",2488,1336,6.92879002308305e-05,0.0440927667320789,-0.00097462614348786,"hypo","Biological processes"
"28","GO:0043234 protein complex",3303,1699,8.24145547852871e-05,0.0503731486640485,-0.00186608937053606,"hypo","Cellular components"
"29","GO:0000902 cell morphogenesis",943,562,8.50204464705742e-05,0.0503731486640485,-0.00319760046154791,"hypo","Biological processes"
"30","GO:0007049 cell cycle",1398,759,9.0245823017446e-05,0.0516867910361919,-0.000867810275322166,"hypo","Biological processes"
"31","GO:0009653 anatomical structure morphogenesis",2058,1146,0.000110038639626992,0.0609898034216444,-0.00403484088736676,"hypo","Biological processes"
"32","GO:0000988 protein binding transcription factor activity",515,302,0.000119193394557316,0.0639994032901187,-0.00337413756754174,"hypo","Molecular function"
"33","GO:0050789 regulation of biological process",8089,4065,0.000130203347771361,0.0677925430729553,-0.00200243811128696,"hypo","Biological processes"
"34","GO:0008092 cytoskeletal protein binding",631,381,0.000155436359827136,0.0771489007224803,-0.00150422510774866,"hypo","Molecular function"
"35","GO:0048667 cell morphogenesis involved in neuron differentiation",562,352,0.000157153505138331,0.0771489007224803,-0.00343588490371474,"hypo","Biological processes"
"36","GO:0048869 cellular developmental process",2841,1530,0.000185236470654611,0.0884092510774312,-0.0035578329182133,"hypo","Biological processes"
"37","GO:0005829 cytosol",2373,1261,0.000191732615702053,0.0890364811619642,-0.000310929523280181,"hypo","Cellular components"
"38","GO:0009893 positive regulation of metabolic process",2015,1086,0.000202120436019392,0.0900226629613231,-0.00220552499520172,"hypo","Biological processes"
"39","GO:0003712 transcription cofactor activity",476,279,0.00020433499333556,0.0900226629613231,-0.00343113150928282,"hypo","Molecular function"
"40","GO:0043412 macromolecule modification",2590,1376,0.000223640921108567,0.0960649576621851,-0.000768796290193796,"hypo","Biological processes"
"41","GO:0050794 regulation of cellular process",7678,3870,0.000240347510934917,0.100723193484969,-0.0020380049544448,"hypo","Biological processes"
"42","GO:0048519 negative regulation of biological process",3150,1654,0.000257973249864492,0.104354745507938,-0.00263820590814452,"hypo","Biological processes"
"43","GO:0007528 neuromuscular junction development",37,31,0.000261160170925465,0.104354745507938,-0.00320080147269718,"hypo","Biological processes"
"44","GO:0007409 axonogenesis",513,322,0.000274280020731544,0.107106348095668,-0.00340823060569275,"hypo","Biological processes"
"45","GO:0044444 cytoplasmic part",6584,3304,0.000326107897699476,0.124515242183831,-0.000587040958156757,"hypo","Cellular components"
"46","GO:0044763 single-organism cellular process",9550,4792,0.000353766158384803,0.132139350725384,-0.00163341109828549,"hypo","Biological processes"
"47","GO:0051716 cellular response to stimulus",4990,2558,0.000377629501662372,0.138051704203466,-0.00127159318334282,"hypo","Biological processes"
"48","GO:1901135 carbohydrate derivative metabolic process",1325,710,0.000390623553835756,0.139798460589887,-5.09273870855679e-05,"hypo","Biological processes"
"49","GO:0048513 organ development",2398,1278,0.00040521806005341,0.139798460589887,-0.00354800443601052,"hypo","Biological processes"
"50","GO:0007165 signal transduction",4088,2127,0.000406816612122824,0.139798460589887,-0.00161509363523572,"hypo","Biological processes"
"51","GO:0010604 positive regulation of macromolecule metabolic process",1873,1010,0.000464932324452779,0.155901180842379,-0.00237192585843614,"hypo","Biological processes"
"52","GO:0031252 cell leading edge",262,170,0.000471822919555564,0.155901180842379,-0.00123346089143887,"hypo","Cellular components"
"53","GO:0006357 regulation of transcription from RNA polymerase II promoter",1244,687,0.000514243677251583,0.166711978538428,-0.00451483139358233,"hypo","Biological processes"
"54","GO:0031325 positive regulation of cellular metabolic process",1913,1027,0.000563258480843801,0.174687725115406,-0.00219965208830492,"hypo","Biological processes"
"55","GO:0007417 central nervous system development",691,405,0.000584679657933981,0.174687725115406,-0.00712169663974527,"hypo","Biological processes"
"56","GO:0023052 signaling",4596,2392,0.000589714661339701,0.174687725115406,-0.00186695846588361,"hypo","Biological processes"
"57","GO:0044700 single organism signaling",4596,2392,0.000589714661339701,0.174687725115406,-0.00186695846588361,"hypo","Biological processes"
"58","GO:0048522 positive regulation of cellular process",3143,1651,0.000593352090070278,0.174687725115406,-0.0020551483671462,"hypo","Biological processes"
"59","GO:0065007 biological regulation",8569,4284,0.000608977063726064,0.174687725115406,-0.00191649247871518,"hypo","Biological processes"
"60","GO:0007275 multicellular organismal development",3943,2072,0.000610014172210706,0.174687725115406,-0.00330291841541853,"hypo","Biological processes"
"61","GO:0007519 skeletal muscle tissue development",182,119,0.000652604375928401,0.182957540398056,-0.00823666702028729,"hypo","Biological processes"
"62","GO:0007010 cytoskeleton organization",804,462,0.000667635122076565,0.182957540398056,-0.00155049637390225,"hypo","Biological processes"
"63","GO:0042692 muscle cell differentiation",295,185,0.000670837215986353,0.182957540398056,-0.00831262643333188,"hypo","Biological processes"
"64","GO:0019829 cation-transporting ATPase activity",46,34,0.00077550050738076,0.208078080560113,-0.00120893736606574,"hypo","Molecular function"
"65","GO:0048523 negative regulation of cellular process",2884,1517,0.000787165361215652,0.208078080560113,-0.00252255551981928,"hypo","Biological processes"
"66","GO:0065008 regulation of biological quality",2548,1335,0.000955325842367043,0.248703160962887,-0.001487523075865,"hypo","Biological processes"
"67","GO:0019904 protein domain specific binding",534,316,0.00105780482240714,0.271271678486561,0.000158341794704053,"hyper","Molecular function"
"68","GO:0031323 regulation of cellular metabolic process",4367,2217,0.00112889382579735,0.27900488171918,-0.00227146999628166,"hypo","Biological processes"
"69","GO:0048518 positive regulation of biological process",3447,1797,0.00113568146416942,0.27900488171918,-0.00174328627845292,"hypo","Biological processes"
"70","GO:0010605 negative regulation of macromolecule metabolic process",1353,732,0.00115772430896115,0.27900488171918,-0.00321391248044655,"hypo","Biological processes"
"71","GO:0006796 phosphate-containing compound metabolic process",2453,1302,0.0011746099102431,0.27900488171918,-0.00141442415040767,"hypo","Biological processes"
"72","GO:0006793 phosphorus metabolic process",2500,1324,0.00119590061333618,0.27900488171918,-0.00158534634480524,"hypo","Biological processes"
"73","GO:0042995 cell projection",1204,679,0.00123545140646518,0.27900488171918,-0.00220142374050136,"hypo","Cellular components"
"74","GO:0048741 skeletal muscle fiber development",91,64,0.0012386985454445,0.27900488171918,-0.00771071555571797,"hypo","Biological processes"
"75","GO:0032991 macromolecular complex",3892,1937,0.00124115744300625,0.27900488171918,-0.00149312459483433,"hypo","Cellular components"
"76","GO:0012505 endomembrane system",1783,942,0.0012551235280873,0.27900488171918,-0.00031470673420379,"hypo","Cellular components"
"77","GO:0050878 regulation of body fluid levels",589,332,0.00126286780896846,0.27900488171918,-0.00135362224036558,"hypo","Biological processes"
"78","GO:0097110 scaffold protein binding",22,19,0.00126658018706181,0.27900488171918,0.00232089676077027,"hyper","Molecular function"
"79","GO:0019222 regulation of metabolic process",4808,2425,0.00133394069785019,0.290123659119771,-0.00215479231622976,"hypo","Biological processes"
"80","GO:0030036 actin cytoskeleton organization",419,254,0.00139923613096876,0.300520940028816,-0.00291464774505642,"hypo","Biological processes"
"81","GO:0044424 intracellular part",12060,5901,0.00144949776483089,0.306022097994484,-0.00140539814609954,"hypo","Cellular components"
"82","GO:0007166 cell surface receptor signaling pathway",2319,1227,0.00146047096004817,0.306022097994484,-0.00181709647363211,"hypo","Biological processes"
"83","GO:0044422 organelle part",6338,3143,0.00149144781090717,0.308747666108517,-0.00113244333187642,"hypo","Cellular components"
"84","GO:0032502 developmental process",4435,2309,0.00154957690742224,0.316962266944391,-0.00337859450864711,"hypo","Biological processes"
"85","GO:0005622 intracellular",12294,6015,0.00162796155222075,0.3217486717024,-0.00133756890786626,"hypo","Cellular components"
"86","GO:0007015 actin filament organization",221,139,0.00164848352931257,0.3217486717024,-0.00216276443246675,"hypo","Biological processes"
"87","GO:0007154 cell communication",4705,2438,0.00165557016905123,0.3217486717024,-0.00182965658795282,"hypo","Biological processes"
"88","GO:0014706 striated muscle tissue development",310,190,0.00166030118910652,0.3217486717024,-0.00959161960841532,"hypo","Biological processes"
"89","GO:0016570 histone modification",270,163,0.00166660643589301,0.3217486717024,-0.00132618728841625,"hypo","Biological processes"
"90","GO:0045892 negative regulation of transcription, DNA-dependent",809,452,0.0017040075080794,0.32244919914121,-0.00451279690586322,"hypo","Biological processes"
"91","GO:0080090 regulation of primary metabolic process",4308,2179,0.00170776842753173,0.32244919914121,-0.00236502525483268,"hypo","Biological processes"
"92","GO:0000122 negative regulation of transcription from RNA polymerase II promoter",509,295,0.00174931169684598,0.326702973643562,-0.00499132927258131,"hypo","Biological processes"
"93","GO:0033043 regulation of organelle organization",505,287,0.00181159540005053,0.334551152858847,0.000551374405258255,"hyper","Biological processes"
"94","GO:0044267 cellular protein metabolic process",3201,1644,0.0018302763571605,0.334551152858847,-0.00129055683636576,"hypo","Biological processes"
"95","GO:0051253 negative regulation of RNA metabolic process",840,466,0.00192957371356179,0.34898879522546,-0.00445817183626839,"hypo","Biological processes"
"96","GO:0044446 intracellular organelle part",6236,3087,0.00197196172437061,0.351094917202238,-0.00103741250675638,"hypo","Cellular components"
"97","GO:0010628 positive regulation of gene expression",1101,605,0.00198362602999066,0.351094917202238,-0.00418249942223143,"hypo","Biological processes"
"98","GO:0009892 negative regulation of metabolic process",1450,777,0.00200252018890812,0.351094917202238,-0.00293025494940117,"hypo","Biological processes"
"99","GO:0030517 negative regulation of axon extension",16,15,0.00203413447726791,0.353035339276941,-0.00132850468907767,"hypo","Biological processes"
"100","GO:0045202 synapse",492,297,0.00209140412540414,0.357680609706511,-0.00419270118069253,"hypo","Cellular components"
"101","GO:0019220 regulation of phosphate metabolic process",1230,672,0.00210253413923627,0.357680609706511,-0.00219261426753178,"hypo","Biological processes"
"102","GO:0034220 ion transmembrane transport",295,175,0.00213415846964335,0.358278207817776,-0.00281032236097498,"hypo","Biological processes"
"103","GO:0060538 skeletal muscle organ development",189,121,0.00214775086749103,0.358278207817776,-0.00811163373646636,"hypo","Biological processes"
"104","GO:0044237 cellular metabolic process",8510,4172,0.00228209101833226,0.374257091499986,-0.0015659525794932,"hypo","Biological processes"
"105","GO:0048747 muscle fiber development",106,72,0.00228710246813517,0.374257091499986,-0.0089376208792338,"hypo","Biological processes"
"106","GO:0003779 actin binding",353,216,0.00232025644596931,0.376100436364572,-0.00167957902566774,"hypo","Molecular function"
"107","GO:0007616 long-term memory",22,19,0.00236697376682256,0.380087320201358,-0.0163007732417029,"hypo","Biological processes"
"108","GO:0022402 cell cycle process",1066,571,0.00245883523423048,0.387964963925873,-0.000646487817866457,"hypo","Biological processes"
"109","GO:0030516 regulation of axon extension",38,30,0.00246119084320336,0.387964963925873,-0.0022832710060287,"hypo","Biological processes"
"110","GO:0007420 brain development",506,297,0.00249707566844615,0.390043219411289,-0.00824196894159324,"hypo","Biological processes"
"111","GO:0016569 covalent chromatin modification",276,165,0.00261429315228442,0.404673738221179,-0.00145736544706909,"hypo","Biological processes"
"112","GO:0031328 positive regulation of cellular biosynthetic process",1283,691,0.00265821657121251,0.40574527015683,-0.00303686521350324,"hypo","Biological processes"
"113","GO:0006366 transcription from RNA polymerase II promoter",1419,764,0.00266844462389255,0.40574527015683,-0.00423119337907012,"hypo","Biological processes"
"114","GO:0007411 axon guidance",356,225,0.00274478843496534,0.413692586750653,-0.00275099375356676,"hypo","Biological processes"
"115","GO:0043226 organelle",10521,5138,0.00277886677787293,0.415186860673154,-0.00154363849574953,"hypo","Cellular components"
"116","GO:0051173 positive regulation of nitrogen compound metabolic process",1216,658,0.00299896792392315,0.438708363623561,-0.00386898072438995,"hypo","Biological processes"
"117","GO:1901137 carbohydrate derivative biosynthetic process",660,357,0.0030144814721707,0.438708363623561,0.00161263770088565,"hyper","Biological processes"
"118","GO:0016568 chromatin modification",437,252,0.00301825732651009,0.438708363623561,-0.00132989020754885,"hypo","Biological processes"
"119","GO:0051146 striated muscle cell differentiation",218,137,0.00303842947684808,0.438708363623561,-0.00948767663925874,"hypo","Biological processes"
"120","GO:0031324 negative regulation of cellular metabolic process",1341,719,0.00309553197782345,0.443228587024687,-0.00289939490600506,"hypo","Biological processes"
"121","GO:0044463 cell projection part",618,359,0.0031804118417028,0.45096271623821,-0.00306393679876427,"hypo","Cellular components"
"122","GO:0051130 positive regulation of cellular component organization",490,283,0.00321094748824702,0.45096271623821,-0.00290407341868414,"hypo","Biological processes"
"123","GO:0034332 adherens junction organization",86,61,0.00325203939155245,0.45096271623821,-0.00633908567122272,"hypo","Biological processes"
"124","GO:0009891 positive regulation of biosynthetic process",1304,699,0.00325453246499465,0.45096271623821,-0.00294107920349656,"hypo","Biological processes"
"125","GO:0051174 regulation of phosphorus metabolic process",1243,676,0.00335616762453763,0.461325376998445,-0.00218950668631835,"hypo","Biological processes"
"126","GO:0030029 actin filament-based process",467,276,0.00342786943974666,0.465730568512677,-0.0033909756696404,"hypo","Biological processes"
"127","GO:0030659 cytoplasmic vesicle membrane",357,208,0.00344242708655046,0.465730568512677,-0.00187640986585131,"hypo","Cellular components"
"128","GO:0050681 androgen receptor binding",38,29,0.00347788225626453,0.466851350993259,-0.00210127860473257,"hypo","Molecular function"
"129","GO:0060537 muscle tissue development",322,195,0.00354243341524267,0.470853804442672,-0.00933541932412934,"hypo","Biological processes"
"130","GO:0043229 intracellular organelle",10491,5120,0.00356250695946615,0.470853804442672,-0.0015440752030542,"hypo","Cellular components"
"131","GO:0010639 negative regulation of organelle organization",175,107,0.00362073255974594,0.471385282416633,0.0040421201353011,"hyper","Biological processes"
"132","GO:0010629 negative regulation of gene expression",898,494,0.00363495550368084,0.471385282416633,-0.00418704989473424,"hypo","Biological processes"
"133","GO:0044707 single-multicellular organism process",5382,2738,0.0036696162900199,0.471385282416633,-0.00282884912446332,"hypo","Biological processes"
"134","GO:0051156 glucose 6-phosphate metabolic process",8,8,0.00367626748014368,0.471385282416633,0.00197700665101,"hyper","Biological processes"
"135","GO:0007599 hemostasis",497,281,0.0038486035100595,0.483340649060773,-0.00194492531904812,"hypo","Biological processes"
"136","GO:0030695 GTPase regulator activity",433,261,0.00385844223491798,0.483340649060773,0.000205995995754773,"hyper","Molecular function"
"137","GO:0008328 ionotropic glutamate receptor complex",29,24,0.0038895594354316,0.483340649060773,-0.00791127078978211,"hypo","Cellular components"
"138","GO:0016772 transferase activity, transferring phosphorus-containing groups",889,500,0.00390297711332878,0.483340649060773,0.000848227462137801,"hyper","Molecular function"
"139","GO:0010646 regulation of cell communication",2021,1096,0.00391015889997948,0.483340649060773,-0.00152372749519021,"hypo","Biological processes"
"140","GO:2000311 regulation of alpha-amino-3-hydroxy-5-methyl-4-isoxazole propionate selective glutamate receptor activity",17,15,0.00396534520750405,0.486051526621333,0.00315701977586125,"hyper","Biological processes"
"141","GO:0044699 single-organism process",10596,5238,0.00398866635162426,0.486051526621333,-0.00173481123861169,"hypo","Biological processes"
"142","GO:0010558 negative regulation of macromolecule biosynthetic process",954,521,0.00406616492503761,0.492005955929551,-0.00425632304953889,"hypo","Biological processes"
"143","GO:0031399 regulation of protein modification process",1028,556,0.00414320514082733,0.497822033074792,-0.00223533166946247,"hypo","Biological processes"
"144","GO:0051172 negative regulation of nitrogen compound metabolic process",933,510,0.00420424163602197,0.501647776320343,-0.00405776102202309,"hypo","Biological processes"
"145","GO:0001932 regulation of protein phosphorylation",814,447,0.00439516048035818,0.516301583187125,-0.00197375007942526,"hypo","Biological processes"
"146","GO:0015988 energy coupled proton transmembrane transport, against electrochemical gradient",30,22,0.00441720013552016,0.516301583187125,-0.00105242256218857,"hypo","Biological processes"
"147","GO:0015991 ATP hydrolysis coupled proton transport",30,22,0.00441720013552016,0.516301583187125,-0.00105242256218857,"hypo","Biological processes"
"148","GO:0021692 cerebellar Purkinje cell layer morphogenesis",10,10,0.00444991951224108,0.516611601752205,0.00372769254285805,"hyper","Biological processes"
"149","GO:0031090 organelle membrane",2380,1207,0.00454899827456292,0.522051160592536,-0.000835845090060463,"hypo","Cellular components"
"150","GO:0042060 wound healing",604,339,0.00455754126928648,0.522051160592536,-0.0022533093586548,"hypo","Biological processes"
"151","GO:0007215 glutamate receptor signaling pathway",49,37,0.00460484768112258,0.523976773887737,-0.00828812616481973,"hypo","Biological processes"
"152","GO:0031982 vesicle",999,537,0.0046693418849084,0.527819949121685,1.99101734007715e-05,"hyper","Cellular components"
"153","GO:0016740 transferase activity",1709,897,0.0047241066422064,0.529573525067629,0.000106401036720974,"hyper","Molecular function"
"154","GO:0045935 positive regulation of nucleobase-containing compound metabolic process",1191,643,0.00475605460586018,0.529573525067629,-0.00406969010632535,"hypo","Biological processes"
"155","GO:0065009 regulation of molecular function",1810,956,0.00477731907726007,0.529573525067629,-0.00165581063805632,"hypo","Biological processes"
"156","GO:0043900 regulation of multi-organism process",210,118,0.00481742183607187,0.530595781970429,0.00279263560377319,"hyper","Biological processes"
"157","GO:0007596 blood coagulation",493,278,0.00487351735617925,0.531889005428838,-0.00201847775829875,"hypo","Biological processes"
"158","GO:0051726 regulation of cell cycle",741,401,0.0048971155148224,0.531889005428838,-0.000907061593095364,"hypo","Biological processes"
"159","GO:0012506 vesicle membrane",368,213,0.00499240279253048,0.531889005428838,-0.00128352385955582,"hypo","Cellular components"
"160","GO:0006468 protein phosphorylation",1127,618,0.00500283360686114,0.531889005428838,-0.00142015599311281,"hypo","Biological processes"
"161","GO:0010720 positive regulation of cell development",155,100,0.00501182145313744,0.531889005428838,-0.00553821486593021,"hypo","Biological processes"
"162","GO:0045597 positive regulation of cell differentiation",500,289,0.00501490041202839,0.531889005428838,-0.00543084762120943,"hypo","Biological processes"
"163","GO:0061041 regulation of wound healing",82,52,0.00505080486946467,0.53241060900087,-0.00665577392308429,"hypo","Biological processes"
"164","GO:0050954 sensory perception of mechanical stimulus",136,86,0.00510802894606212,0.535159471653898,-0.00340121960813038,"hypo","Biological processes"
"165","GO:0008154 actin polymerization or depolymerization",123,78,0.00516112166473415,0.53744480268765,0.00202735560800296,"hyper","Biological processes"
"166","GO:0033554 cellular response to stress",1215,641,0.00520120395105942,0.538355941488572,-0.000103329891085313,"hypo","Biological processes"
"167","GO:0016265 death",1727,903,0.00529073660732705,0.540322926308415,-0.00212817260372091,"hypo","Biological processes"
"168","GO:0033687 osteoblast proliferation",21,17,0.00529797576268211,0.540322926308415,-0.00519706897407429,"hypo","Biological processes"
"169","GO:0051171 regulation of nitrogen compound metabolic process",3462,1750,0.00537681253969458,0.540322926308415,-0.00279520262794629,"hypo","Biological processes"
"170","GO:0048675 axon extension",58,41,0.00539892270512442,0.540322926308415,-0.00129180989369139,"hypo","Biological processes"
"171","GO:0023051 regulation of signaling",2015,1090,0.00540145700399315,0.540322926308415,-0.00160182708922857,"hypo","Biological processes"
"172","GO:0016742 hydroxymethyl-, formyl- and related transferase activity",8,8,0.0054088897290797,0.540322926308415,-0.00762716315153179,"hypo","Molecular function"
"173","GO:0060255 regulation of macromolecule metabolic process",4154,2085,0.0055177149119549,0.546989003507456,-0.00216819096502903,"hypo","Biological processes"
"174","GO:0007517 muscle organ development",343,203,0.00555185018144108,0.546989003507456,-0.00853735088683625,"hypo","Biological processes"
"175","GO:0045934 negative regulation of nucleobase-containing compound metabolic process",920,502,0.00560112504476654,0.546989003507456,-0.00424819967967862,"hypo","Biological processes"
"176","GO:0050817 coagulation",496,279,0.00560296034322618,0.546989003507456,-0.00205589601847075,"hypo","Biological processes"
"177","GO:0060589 nucleoside-triphosphatase regulator activity",444,265,0.00566697083034302,0.550112388739851,0.00020955444523171,"hyper","Molecular function"
"178","GO:0019888 protein phosphatase regulator activity",63,43,0.00580111227713678,0.55392401861411,-0.00255113536564221,"hypo","Molecular function"
"179","GO:0042325 regulation of phosphorylation",871,476,0.00581198802070139,0.55392401861411,-0.00238543310417382,"hypo","Biological processes"
"180","GO:0010468 regulation of gene expression",3322,1676,0.00581698022063094,0.55392401861411,-0.00270143467548749,"hypo","Biological processes"
"181","GO:0051254 positive regulation of RNA metabolic process",1066,580,0.00585433160059397,0.55392401861411,-0.00426554987631262,"hypo","Biological processes"
"182","GO:0019219 regulation of nucleobase-containing compound metabolic process",3379,1709,0.00586742936723129,0.55392401861411,-0.0028744145881658,"hypo","Biological processes"
"183","GO:0003714 transcription corepressor activity",193,117,0.00606820989677726,0.569458532075933,-0.00410413238741014,"hypo","Molecular function"
"184","GO:0050896 response to stimulus",6471,3218,0.00611040324364444,0.569458532075933,-0.00135782052928678,"hypo","Biological processes"
"185","GO:0043231 intracellular membrane-bounded organelle",9529,4655,0.00613550013150705,0.569458532075933,-0.00131078829120963,"hypo","Cellular components"
"186","GO:0018205 peptidyl-lysine modification",150,91,0.00618567546006893,0.569458532075933,-0.0014082456661942,"hypo","Biological processes"
"187","GO:0008219 cell death",1725,901,0.0061976920904551,0.569458532075933,-0.00208126652309566,"hypo","Biological processes"
"188","GO:0060079 regulation of excitatory postsynaptic membrane potential",39,30,0.0062350689592808,0.569845504565759,-0.00192043619010315,"hypo","Biological processes"
"189","GO:0032501 multicellular organismal process",5579,2819,0.00628851852616548,0.571689551939552,-0.00261247921400137,"hypo","Biological processes"
"190","GO:0009058 biosynthetic process",5154,2545,0.00655830262381116,0.590616382211377,-0.00184201907749369,"hypo","Biological processes"
"191","GO:0003713 transcription coactivator activity",271,158,0.00656545972543203,0.590616382211377,-0.00321228704778713,"hypo","Molecular function"
"192","GO:0005654 nucleoplasm",1481,776,0.00666523332582318,0.592344294864439,-0.00210379783142935,"hypo","Cellular components"
"193","GO:0010638 positive regulation of organelle organization",210,123,0.00669389585483713,0.592344294864439,-0.00148341132133753,"hypo","Biological processes"
"194","GO:0007169 transmembrane receptor protein tyrosine kinase signaling pathway",626,361,0.00672065178447431,0.592344294864439,-0.00132418792862056,"hypo","Biological processes"
"195","GO:0045893 positive regulation of transcription, DNA-dependent",1016,554,0.00674279070807554,0.592344294864439,-0.00450749269982772,"hypo","Biological processes"
"196","GO:0043227 membrane-bounded organelle",9561,4670,0.0067570411938907,0.592344294864439,-0.00131947861444481,"hypo","Cellular components"
"197","GO:2000113 negative regulation of cellular macromolecule biosynthetic process",914,499,0.00690715161114883,0.602429842552077,-0.00451421246436455,"hypo","Biological processes"
"198","GO:0009119 ribonucleoside metabolic process",549,303,0.00695788659894026,0.603789937085816,-0.00114881424018628,"hypo","Biological processes"
"199","GO:0006904 vesicle docking involved in exocytosis",27,21,0.00711405060974958,0.605588703708984,0.00236336945057551,"hyper","Biological processes"
"200","GO:0044093 positive regulation of molecular function",1098,594,0.0071163939388047,0.605588703708984,-0.0018737372971536,"hypo","Biological processes"
"201","GO:0033688 regulation of osteoblast proliferation",18,15,0.00711937231670563,0.605588703708984,-0.00443502029425349,"hypo","Biological processes"
"202","GO:0034333 adherens junction assembly",50,37,0.00712336959734115,0.605588703708984,-0.00223616998620326,"hypo","Biological processes"
"203","GO:0061387 regulation of extent of cell growth",46,34,0.00717348401045693,0.605588703708984,-0.00351790171421731,"hypo","Biological processes"
"204","GO:0021694 cerebellar Purkinje cell layer formation",9,9,0.00722533373648829,0.605588703708984,0.000173437036055297,"hyper","Biological processes"
"205","GO:0021702 cerebellar Purkinje cell differentiation",9,9,0.00722533373648829,0.605588703708984,0.000173437036055297,"hyper","Biological processes"
"206","GO:0042625 ATPase activity, coupled to transmembrane movement of ions",67,45,0.00731988860650043,0.610535563285875,-0.000828018657914354,"hypo","Molecular function"
"207","GO:0031988 membrane-bounded vesicle",911,488,0.00749678278808187,0.619442423448408,5.72113676705472e-05,"hyper","Cellular components"
"208","GO:1901657 glycosyl compound metabolic process",610,332,0.00750573385701713,0.619442423448408,-0.00158934726633006,"hypo","Biological processes"
"209","GO:0046883 regulation of hormone secretion",188,111,0.00757266879589948,0.619442423448408,-0.00272290481037239,"hypo","Biological processes"
"210","GO:0006189 'de novo' IMP biosynthetic process",6,6,0.00763319228384039,0.619442423448408,-0.0108102853959707,"hypo","Biological processes"
"211","GO:0001958 endochondral ossification",21,18,0.00764298648417311,0.619442423448408,0.00137824685360629,"hyper","Biological processes"
"212","GO:0036075 replacement ossification",21,18,0.00764298648417311,0.619442423448408,0.00137824685360629,"hyper","Biological processes"
"213","GO:0007605 sensory perception of sound",127,80,0.00768071809405129,0.619577926253471,-0.00352388234315146,"hypo","Biological processes"
