"","cpg","t","p.value","conf.int_0.025","conf.int_0.975","delta_M","UCSC_RefGene_Name","Regulatory_Feature_Group","Relation_to_Island"
"23","cg00022259",2.47328681592159,0.042627222128809,0.00868792701265082,0.38680679503454,0.197747361023595,"GOLGA3","Gene_Associated_Cell_type_specific","OpenSea"
"24","cg00022688",2.38885262090221,0.0482501063596935,0.00226868157723376,0.445103228810415,0.223685955193825,"ACSL5","Promoter_Associated","OpenSea"
"25","cg00025439",-2.51767705151848,0.0399459632177764,-0.878619165943787,-0.027543388879008,-0.453081277411397,"NA","","OpenSea"
"26","cg00025626",2.9843854703859,0.0203878021046253,0.0658709142824609,0.568515986816082,0.317193450549272,"KLHL30","","Island"
"27","cg00026455",3.10090731316498,0.0173002673729301,0.0273513938530252,0.203033200471327,0.115192297162176,"DEF8","","S_Shore"
"28","cg00027669",3.71883046497009,0.00746755288268701,0.0763953394615668,0.343188196583326,0.209791768022446,"STAC2","","S_Shore"
"29","cg00028014",2.43070109636984,0.0453738348486333,0.0123676773607542,0.897546439203512,0.454957058282133,"NA","","OpenSea"
"30","cg00030074",2.88063171061827,0.0236302514250658,0.0366778049514783,0.372832740569073,0.204755272760276,"MAP2K4","","OpenSea"
"31","cg00033202",-3.15160072426609,0.0161160246068384,-0.518841451371085,-0.0740209141330642,-0.296431182752075,"SPATA5","","OpenSea"
"32","cg00033877",-2.37973748061961,0.0489009801602294,-0.383603358656946,-0.00122197373262621,-0.192412666194786,"ATP11A","","N_Shore"
"33","cg00034823",2.5342366430757,0.038990860399737,0.0197998438080107,0.571872607322898,0.295836225565454,"WDR37","","OpenSea"
"34","cg00035889",2.81600444863716,0.025921491955101,0.0328036122994129,0.376497100365363,0.204650356332388,"KLF3","","N_Shore"
"35","cg00037930",-2.83953933590055,0.0250611467211209,-0.281746484296027,-0.0257112700423997,-0.153728877169213,"ATP11A","","OpenSea"
"36","cg00038760",2.38165853383682,0.0487630629224446,0.00209991296048445,0.585101302917306,0.293600607938895,"IQCJ","","OpenSea"
"37","cg00040862",-2.46024865605322,0.0434494819311804,-0.595063268429717,-0.011793589540918,-0.303428428985318,"TPO","","OpenSea"
"38","cg00041995",-2.37230011149658,0.049438699321038,-0.20304394284868,-0.000329018734554052,-0.101686480791617,"PSMG2","","OpenSea"
"39","cg00042059",-2.87088116501223,0.0239618043206194,-0.328141145082429,-0.0317302170576451,-0.179935681070037,"EML6","","OpenSea"
"40","cg00042637",2.72879155780901,0.0293899354657324,0.0166361194897486,0.232680618412983,0.124658368951366,"NDRG1","Promoter_Associated","Island"
"41","cg00044143",-3.17820521784055,0.015529393085527,-0.396084753131411,-0.0581376385374534,-0.227111195834432,"PIAS3","","S_Shelf"
"42","cg00045690",-2.6030344156302,0.0352690366827735,-0.191865805716409,-0.00920811216677075,-0.10053695894159,"PSMB9","","S_Shelf"
"43","cg00046156",-3.33869351661486,0.0124419169051199,-0.285806141825687,-0.0488128120896255,-0.167309476957656,"NA","","N_Shelf"
"44","cg00046336",2.5847482714114,0.0362208364574968,0.0203320711605205,0.45715589975399,0.238743985457255,"NA","","Island"
"45","cg00046571",3.07941220822792,0.0178300965830361,0.0350220970595502,0.266738648184714,0.150880372622132,"INTS4","","OpenSea"
"46","cg00049960",-3.53194646036678,0.00957276919570535,-0.687939230397068,-0.136188774994359,-0.412064002695713,"SCN11A","","OpenSea"
"47","cg00050247",-3.65750693984912,0.00809700288303885,-0.733227533368799,-0.157415565073141,-0.44532154922097,"NA","Promoter_Associated","Island"
"48","cg00051307",2.4984689891571,0.0410841554959748,0.0108325250063053,0.393587227238592,0.202209876122449,"NA","","N_Shelf"
"49","cg00052482",-2.42507175303363,0.045750275376523,-0.944172454629242,-0.0119157595297244,-0.478044107079483,"PSMD4","","OpenSea"
"50","cg00055361",2.62710355280192,0.03405567351206,0.0229257438898727,0.435992753273628,0.22945924858175,"IGF2BP3","","OpenSea"
"51","cg00056074",-3.43595800782408,0.0108967609732824,-0.643501689438593,-0.118851013787147,-0.38117635161287,"NA","Promoter_Associated_Cell_type_specific","Island"
"52","cg00057693",-2.65570798984092,0.0326699340823476,-0.19273719675994,-0.0111750898216107,-0.101956143290775,"NA","","OpenSea"
"53","cg00058193",-3.30122488460875,0.0130986280456424,-0.739478638820915,-0.12224048762544,-0.430859563223178,"NA","","OpenSea"
"54","cg00060991",-2.89282142780135,0.0232225492851296,-0.521539634593435,-0.0523972626769668,-0.286968448635201,"MYO16","Unclassified_Cell_type_specific","OpenSea"
"55","cg00064180",3.30905186650678,0.012958431860414,0.0734518957024564,0.44126438055723,0.257358138129843,"DIAPH2","","S_Shore"
"56","cg00066627",-3.47351762814753,0.0103565407784419,-0.243579128135313,-0.0462652822456318,-0.144922205190472,"SCGN","","OpenSea"
"57","cg00066910",3.44028656415236,0.0108329823140341,0.0282256116316733,0.152322114783256,0.0902738632074646,"NA","","OpenSea"
"58","cg00067424",3.58386378830283,0.00892996998703444,0.0460282527534096,0.224564987237665,0.135296619995537,"PPP1CB","","OpenSea"
"59","cg00067720",-3.19961612709418,0.0150738472594571,-0.807853736677723,-0.121229720646706,-0.464541728662215,"PIK3R1","","OpenSea"
"60","cg00070588",-2.5981590081455,0.0355202367011584,-0.476860832888443,-0.0224397425173879,-0.249650287702916,"NA","","OpenSea"
"61","cg00071702",2.92482628408533,0.022187042599861,0.0247765089368827,0.233940812183989,0.129358660560436,"CDH4","","OpenSea"
"62","cg00071911",3.07286408104646,0.0179949111910387,0.0532273002458558,0.408650872244763,0.230939086245309,"B4GAT1","Promoter_Associated","S_Shore"
"63","cg00075589",2.95726200777194,0.021187244495363,0.0242400223805257,0.217675368618627,0.120957695499576,"ZNF142","Promoter_Associated","Island"
"64","cg00080393",2.38851322841414,0.0482741813752263,0.00349368871061638,0.695131603085704,0.34931264589816,"PPCS","Promoter_Associated","Island"
"65","cg00080484",-2.83297999601796,0.0252978690803933,-0.53608800505647,-0.0483068515270376,-0.292197428291754,"NA","","OpenSea"
"66","cg00082426",-2.70263180405563,0.0305225785464144,-0.602854469947073,-0.040212959763689,-0.321533714855381,"XPO1","","N_Shore"
"67","cg00083993",-2.42330761276582,0.0458689038002125,-0.47510058189714,-0.00582307765248988,-0.240461829774815,"PPP2R2B","","OpenSea"
"68","cg00084432",2.72374069496313,0.0296051493893248,0.044214879386061,0.626486050799437,0.335350465092749,"SPG20","","OpenSea"
"69","cg00084764",2.5896475071056,0.0359632441385191,0.0151422800573942,0.333383188682813,0.174262734370104,"TFIP11","","N_Shelf"
"70","cg00084798",-2.98500059934917,0.0203700465500442,-0.509404115216779,-0.0590737244826833,-0.284238919849731,"NA","","Island"
"71","cg00085790",2.37001159191283,0.0496053714833095,0.000413726081430593,0.363601001267064,0.182007363674247,"NA","","OpenSea"
"72","cg00085800",-2.5942545669356,0.0357227479727784,-0.326893384810621,-0.0151374199258652,-0.171015402368243,"LDB1","Promoter_Associated_Cell_type_specific","N_Shore"
"73","cg00086911",2.47548566300879,0.0424901369231785,0.00848047003541372,0.370249725081179,0.189365097558296,"NA","","N_Shelf"
"74","cg00087273",2.84234127878453,0.0249607380374382,0.0354010743015414,0.385860589290788,0.210630831796165,"NA","Unclassified","OpenSea"
"75","cg00088227",3.16239752990665,0.0158751507672068,0.0505668042087007,0.350329894319111,0.200448349263906,"GCC1","Promoter_Associated","Island"
"76","cg00089425",-3.29673020172245,0.013179871253512,-0.340918548083162,-0.0561300674243774,-0.19852430775377,"GABRR3","","OpenSea"
"77","cg00090105",3.28960154030406,0.0133098351766666,0.0570548979321227,0.348766698792478,0.202910798362301,"NA","","OpenSea"
"78","cg00091146",2.36704590445866,0.0498222160190118,0.000126272502254072,0.246723978843423,0.123425125672839,"NA","","N_Shore"
"79","cg00092151",2.43476005013256,0.045104381898196,0.00341947750482267,0.233994436485128,0.118706956994975,"AVIL","","OpenSea"
"80","cg00093449",2.40912486269828,0.0468341511052503,0.00351584787943228,0.377158319480936,0.190337083680184,"SLC23A2","","OpenSea"
"81","cg00093522",6.0085538546789,0.000537654820550085,0.0520154691313827,0.119523381283074,0.0857694252072286,"NA","Unclassified_Cell_type_specific","N_Shore"
"82","cg00093542",-2.8530008017328,0.0245826034576332,-0.46188451950273,-0.0432329969847194,-0.252558758243725,"TRIM35","Unclassified_Cell_type_specific","N_Shore"
"83","cg00094734",3.52221002188625,0.00969879719200612,0.0858520915036928,0.436595756170766,0.26122392383723,"NA","Unclassified","OpenSea"
"84","cg00094943",2.38615918997026,0.0484415051812908,0.00245261980105729,0.541067976841687,0.271760298321372,"ZNF775","","N_Shore"
"85","cg00095608",-2.62856540755304,0.0339833916453894,-0.284988018058553,-0.0150645323041995,-0.150026275181376,"NA","Promoter_Associated","S_Shore"
"86","cg00097518",-2.52794962876495,0.0393506647452933,-0.389033108243998,-0.0129868205754648,-0.201009964409731,"NA","","N_Shore"
"87","cg00097800",2.52992434913636,0.0392372837145565,0.0132797474431681,0.393214343075993,0.203247045259581,"EPAS1","Unclassified_Cell_type_specific","OpenSea"
"88","cg00099755",-3.02688686726661,0.0191987499894755,-0.387369311529394,-0.0475822469488846,-0.217475779239139,"NEXN","","OpenSea"
"89","cg00100420",-2.76036963035656,0.02808101737008,-0.85211308405218,-0.065799066879965,-0.458956075466073,"NA","","OpenSea"
"90","cg00101555",-3.01754494789329,0.0194536486278229,-0.23881934792334,-0.0289716077582678,-0.133895477840804,"LOC100271715","","N_Shore"
"91","cg00101578",-6.7710711125448,0.000259962629158494,-0.311439687833994,-0.150217622209596,-0.230828655021795,"NA","","OpenSea"
"92","cg00101622",-2.68215191159825,0.0314410887058027,-0.334004028888593,-0.0210145079345735,-0.177509268411583,"NA","","OpenSea"
"93","cg00102033",-2.96377582482565,0.0209922731493779,-0.739917057748601,-0.0831999217126908,-0.411558489730646,"NA","Unclassified_Cell_type_specific","Island"
"94","cg00102714",-2.84441722901966,0.0248866187063594,-0.228208291533496,-0.021019747313566,-0.124614019423531,"CD46","Promoter_Associated","Island"
"95","cg00105470",-2.48033749616945,0.0421892574660086,-0.177272908176858,-0.00423384630232824,-0.0907533772395933,"C1orf35","Promoter_Associated","Island"
"96","cg00106499",2.55485342209922,0.0378346581797186,0.0161279959090028,0.417082803780876,0.216605399844939,"POLD2","Promoter_Associated","Island"
"97","cg00108694",-2.71568254125491,0.0299519212344569,-0.554737991754771,-0.0383333878320513,-0.296535689793411,"NA","","OpenSea"
"98","cg00109551",2.81066275413181,0.0261210542053641,0.0263264263979183,0.305459756654953,0.165893091526435,"ATP11A","","Island"
"99","cg00111463",3.97195706787148,0.00537883987943245,0.0680685691764402,0.268346430507585,0.168207499842012,"NA","","OpenSea"
"100","cg00113363",2.71727457331579,0.0298830751059235,0.0393807562016365,0.567499889656418,0.303440322929027,"B3GALNT1","Unclassified_Cell_type_specific","Island"
"101","cg00115460",-2.56602569675942,0.0372229942847733,-0.325691646053928,-0.0133034729459718,-0.16949755949995,"MAP9","","OpenSea"
"102","cg00119670",2.67912937152242,0.0315790718902794,0.0185354557014212,0.297255166691881,0.157895311196651,"C6orf174","","N_Shore"
"103","cg00121374",2.46934411711964,0.0428741676992418,0.00457352547770906,0.211118276188727,0.107845900833218,"ARHGEF16","Unclassified_Cell_type_specific","N_Shelf"
"104","cg00121963",-2.79716945384818,0.0266323784379244,-0.362037712642258,-0.030337840792409,-0.196187776717334,"NA","","OpenSea"
"105","cg00122218",2.70764997217897,0.0303018208371189,0.0142674840501785,0.210971327345737,0.112619405697958,"GRK6","","S_Shore"
"106","cg00122944",2.68643238252504,0.0312467547419818,0.0239205673744389,0.375453970595775,0.199687268985107,"PFKFB3","","OpenSea"
"107","cg00126173",3.17143145268217,0.0156765591159493,0.0459449321004848,0.31525958505821,0.180602258579347,"NA","","N_Shelf"
"108","cg00126657",-2.69158674890126,0.0310144084569865,-0.59981319920505,-0.0387872304995792,-0.319300214852315,"SSX6","","OpenSea"
"109","cg00127037",2.62173014192363,0.0343227405048355,0.0195727773231708,0.379597698337916,0.199585237830543,"NA","","OpenSea"
"110","cg00129827",-3.89624405666154,0.00592749101823378,-0.491090374426719,-0.120137288714241,-0.30561383157048,"SMAP1","","OpenSea"
"111","cg00130684",2.46119178459762,0.0433894589585403,0.00552176082093224,0.275941624358645,0.140731692589789,"NA","","OpenSea"
"112","cg00131136",-7.05323226257129,0.000201809226134659,-0.310471119296657,-0.154565677967433,-0.232518398632045,"NA","","OpenSea"
"113","cg00133167",-3.12938057521623,0.0166241070763153,-0.21298528429631,-0.02964719692446,-0.121316240610385,"NA","","OpenSea"
"114","cg00134539",2.58908294543665,0.0359928305490091,0.0141760802101011,0.312860016067336,0.163518048138719,"UBASH3A","Unclassified_Cell_type_specific","OpenSea"
"115","cg00135815",-3.83796863671781,0.00639135822708879,-0.391107420605852,-0.0929024252448262,-0.242004922925339,"DLEU1","Promoter_Associated","S_Shore"
"116","cg00136470",4.33443069176879,0.00341926843365434,0.0838140952674754,0.285040813032772,0.184427454150124,"LOC100507424","","OpenSea"
"117","cg00138525",3.67101933844181,0.00795351689830543,0.0918801339065381,0.424493131401835,0.258186632654187,"AATF","","Island"
"118","cg00139244",-2.37384428389181,0.0493265611902138,-0.564202354423908,-0.00109781544227248,-0.28265008493309,"ZEB1","Promoter_Associated","Island"
"119","cg00141153",6.80939031446516,0.000251056156435573,0.195585640797056,0.403689528808278,0.299637584802667,"SGSH","","N_Shore"
"120","cg00141845",-4.27942496259018,0.00365796721810922,-0.333989269356956,-0.096254989963804,-0.21512212966038,"UPRT","Promoter_Associated","OpenSea"
"121","cg00142280",2.78226634623859,0.0272093637435271,0.0426692949771123,0.525843050662898,0.284256172820005,"NA","","OpenSea"
"122","cg00142795",-3.03774492457191,0.0189069313959583,-0.209612615012896,-0.0261171682055544,-0.117864891609225,"DLEC1","","OpenSea"
"123","cg00143020",2.56332668109947,0.0373698164132894,0.0145423270919793,0.360659275955269,0.187600801523624,"REC8","","OpenSea"
"124","cg00147323",-2.96185344977497,0.0210496152924743,-0.261550275019109,-0.0293262207769841,-0.145438247898046,"NA","","OpenSea"
"125","cg00147371",2.54531129043532,0.0383653123596762,0.0112517154552577,0.305750749895792,0.158501232675525,"LINC01548","","OpenSea"
"126","cg00148666",-2.42171740741646,0.0459761065238182,-0.234589472790702,-0.0027982652052062,-0.118693868997954,"MT1X","Promoter_Associated","Island"
"127","cg00150785",2.62659201015566,0.03408100465273,0.0137982344988538,0.262894841685522,0.138346538092188,"NA","","N_Shore"
"128","cg00152117",3.49011433520311,0.0101270959147989,0.0425145716960315,0.22115850422369,0.131836537959861,"ARHGEF11","","OpenSea"
"129","cg00152167",-3.96345029635269,0.00543762599269303,-0.382671441806462,-0.096684238327223,-0.239677840066842,"NA","","OpenSea"
"130","cg00152646",-2.50875454545226,0.040470571444405,-0.195578065018982,-0.00578422592570597,-0.100681145472344,"CRYBB1","","OpenSea"
"131","cg00152942",2.39121952280963,0.0480825499836178,0.00213703116244878,0.382150129877163,0.192143580519806,"CPNE2","","N_Shore"
"132","cg00153311",-3.06388026100425,0.0182236731817556,-0.533661547034143,-0.0687419606798703,-0.301201753857007,"NA","","OpenSea"
"133","cg00154825",3.78114652561254,0.00688196487063428,0.0963415059683776,0.417990470656128,0.257165988312253,"BIVM-ERCC5","","N_Shore"
"134","cg00155129",2.383161170358,0.0486554621853904,0.000620236443116474,0.158858631258389,0.0797394338507526,"ERICH6B","","OpenSea"
"135","cg00155314",-2.47385049072856,0.0425920369620041,-0.431249758285352,-0.0097352557849918,-0.220492507035172,"NA","","N_Shore"
"136","cg00156001",-3.12455187448404,0.0167367625391778,-0.462397423092663,-0.0640148114199777,-0.26320611725632,"BRD1","","N_Shore"
"137","cg00157501",-2.4841415494179,0.0419548900994828,-0.318546024271617,-0.00785184552447167,-0.163198934898044,"TEKT5","","OpenSea"
"138","cg00159400",3.47675291619036,0.0103113774546624,0.0452699692572391,0.237777312305109,0.141523640781174,"PCNA","Promoter_Associated","Island"
"139","cg00159987",2.42662471429752,0.0456461080854236,0.00445094569540416,0.343958545307936,0.17420474550167,"NA","","OpenSea"
"140","cg00160464",-2.5625001421593,0.037414898707794,-0.687104618337839,-0.0275944805530733,-0.357349549445456,"TENM2","","OpenSea"
"141","cg00161024",-3.19842618115373,0.015098786473,-0.271649888975881,-0.0407154679489902,-0.156182678462435,"AFG3L1","Promoter_Associated","Island"
"142","cg00162517",3.48508710490424,0.0101960113527438,0.0344788538083725,0.180007165865206,0.107243009836789,"MAG","","OpenSea"
"143","cg00163920",2.65531306476328,0.0326886610738301,0.019646118986842,0.339271005127314,0.179458562057078,"SLC16A8","","S_Shore"
"144","cg00167110",2.49971974568273,0.0410090319221233,0.00864373051818094,0.311232280124644,0.159938005321412,"PCIF1","","N_Shore"
"145","cg00168242",3.09726129957921,0.0173889436251682,0.0368086868308424,0.274412596675999,0.155610641753421,"KIF6","","OpenSea"
"146","cg00168785",-2.37506897703054,0.0492378085883828,-0.846053213073459,-0.00186442309449895,-0.423958818083979,"WDSUB1","Promoter_Associated","Island"
"147","cg00169167",-2.89725414175299,0.0230761368548122,-0.953773597283645,-0.0965450526187235,-0.525159324951184,"TNFSF9","Promoter_Associated","Island"
"148","cg00172794",3.52622803329248,0.00964657231314336,0.0631116240406917,0.320058578097023,0.191585101068857,"NA","","S_Shore"
"149","cg00172990",3.29070448523859,0.0132896376330447,0.032892894677432,0.20086826794102,0.116880581309226,"ZNF671","","S_Shore"
"150","cg00176647",-2.4191993987967,0.0461463825123043,-0.389593322696789,-0.0044445854382845,-0.197018954067537,"SART3","","OpenSea"
"151","cg00176718",2.47772049570472,0.0423512733813929,0.0101113722296555,0.432929940235524,0.22152065623259,"NA","","N_Shore"
"152","cg00177127",-3.76325690300836,0.00704479221138206,-0.189138441813576,-0.0431691140353963,-0.116153777924486,"EPHA8","","Island"
"153","cg00182288",2.55784808204591,0.0376696911430192,0.0179861907158059,0.458207075071832,0.238096632893819,"NA","","N_Shelf"
"154","cg00184005",-2.62419358450327,0.0342000341753496,-0.469453903845562,-0.0244257939770301,-0.246939848911296,"NA","","OpenSea"
"155","cg00185850",-3.31204285389731,0.0129052835362333,-0.492269559750617,-0.0821583033827962,-0.287213931566707,"DNAJC16","Promoter_Associated","S_Shore"
"156","cg00185867",-3.00861968905647,0.0197005351831802,-0.401297671735591,-0.0480964334612539,-0.224697052598422,"NA","","N_Shore"
"157","cg00186143",-2.47300402436287,0.0426448855442375,-0.259909520946228,-0.00582288121659561,-0.132866201081412,"RSAD2","Unclassified_Cell_type_specific","OpenSea"
"158","cg00186476",2.52056653050441,0.0397775826590981,0.00708748475218764,0.22202904447268,0.114558264612434,"NA","","OpenSea"
"159","cg00187551",-2.62892415780626,0.033965677525257,-0.482069945518844,-0.02551513091355,-0.253792538216197,"LPPR1","","OpenSea"
"160","cg00189939",2.8288233213817,0.0254490976565374,0.0468537409764513,0.524198481202415,0.285526111089433,"NA","","OpenSea"
"161","cg00191903",-2.41432154357255,0.046478081452225,-0.758080393783665,-0.00788344214159514,-0.38298191796263,"MUM1L1","","OpenSea"
"162","cg00196451",-3.34990050602297,0.0122524301526853,-0.403330003965351,-0.0695405991682315,-0.236435301566791,"RHOJ","","OpenSea"
"163","cg00197006",-2.55027077794806,0.0380885521284979,-0.788703118118083,-0.0297910725100212,-0.409247095314052,"COTL1","Gene_Associated_Cell_type_specific","OpenSea"
"164","cg00197313",-2.63937049130927,0.0334540563055404,-0.326632615033747,-0.0179338882952624,-0.172283251664505,"NEFL","","Island"
"165","cg00197692",3.15475801321102,0.0160451853668916,0.0528048470893657,0.368861768321122,0.210833307705244,"CCDC58","Promoter_Associated","Island"
"166","cg00200916",2.58126816516373,0.0364049758697213,0.00953286098977476,0.217631338458449,0.113582099724112,"NA","Unclassified","OpenSea"
"167","cg00202258",2.41912803967599,0.04615121746397,0.00561688997668756,0.492989776320927,0.249303333148807,"NA","Unclassified_Cell_type_specific","OpenSea"
"168","cg00202530",-2.55799035890868,0.0376618720869481,-0.8643036584782,-0.0339508670092281,-0.449127262743714,"PCDHB7","Unclassified","N_Shore"
"169","cg00203594",3.09666914387363,0.0174033913230512,0.0617938697842679,0.461002400934265,0.261398135359266,"ALKBH2","Promoter_Associated","N_Shore"
"170","cg00204989",-3.02117195262085,0.019354260104102,-0.551612040421759,-0.0672434684244028,-0.309427754423081,"NA","","OpenSea"
"171","cg00207494",2.42658993334616,0.0456484384054066,0.00421995774366521,0.326289017229927,0.165254487486796,"PDIA4","","OpenSea"
"172","cg00207926",4.81157846162105,0.00194019513945803,0.11160236942896,0.327297185625696,0.219449777527328,"CARD10","Unclassified_Cell_type_specific","Island"
"173","cg00209424",2.43141309779683,0.0453264495129698,0.00526606182596251,0.378150404400598,0.19170823311328,"RTN4","Promoter_Associated","Island"
"174","cg00211489",3.67670721420617,0.00789394514047103,0.0858855767808545,0.395450022787433,0.240667799784144,"MRPL42P5","","OpenSea"
"175","cg00213123",-2.87616719080066,0.0237814564468737,-0.637234779367106,-0.0621991841472827,-0.349716981757195,"CYP1A1","Unclassified_Cell_type_specific","Island"
"176","cg00220389",2.68982585868379,0.0310935815920994,0.0124133899976349,0.192935271764797,0.102674330881216,"NA","Promoter_Associated","Island"
"177","cg00223186",-3.20897996086751,0.014879127464823,-0.41267198591984,-0.0625164496951868,-0.237594217807513,"ACBD6","Promoter_Associated","Island"
"178","cg00224671",-2.9751920211022,0.0206551318268078,-0.667364237769292,-0.0763080737793807,-0.371836155774336,"LAMC3","Unclassified","Island"
"179","cg00225553",-2.67815849034972,0.0316235279280047,-0.598110281857435,-0.0371874144716035,-0.317648848164519,"TAPBP","Promoter_Associated","Island"
"180","cg00228444",-2.91987232273311,0.0223440820628905,-0.451172710701881,-0.0474052303459628,-0.249288970523922,"CHMP1B","Promoter_Associated","Island"
"181","cg00230407",-2.88593650060411,0.0234519050190454,-0.438483432876037,-0.0435356898691576,-0.241009561372597,"GAK","","S_Shore"
"182","cg00230586",2.69935737203647,0.0306675317603161,0.0178353388556124,0.269820411246742,0.143827875051177,"NA","","Island"
"183","cg00231299",3.79476378687113,0.0067607677624889,0.0950380455341254,0.409314046931756,0.252176046232941,"RPS6KA2","","OpenSea"
"184","cg00232105",2.55596827698858,0.0377731568579618,0.0357432355742509,0.919171097974843,0.477457166774547,"NA","Promoter_Associated","Island"
"185","cg00233907",4.02416622887985,0.00503291470596796,0.0714061153861047,0.274894348241824,0.173150231813965,"ELP2","","OpenSea"
"186","cg00234294",2.49782622532804,0.0411228167079201,0.0106764012623408,0.389735008829861,0.200205705046101,"TRIM56","Unclassified","N_Shore"
"187","cg00234809",-4.36766232964893,0.00328339135807826,-0.225079423924558,-0.0669672408129537,-0.146023332368756,"NA","","S_Shelf"
"188","cg00236944",2.4355382200546,0.0450529111894929,0.00362858465573032,0.245618687931844,0.124623636293787,"NA","","OpenSea"
"189","cg00237191",-2.50231087218295,0.040853852891394,-0.27979754784573,-0.00791553160922489,-0.143856539727477,"ELAVL3","","OpenSea"
"190","cg00237520",3.14269432007327,0.0163176595361137,0.0488273630227597,0.345608774934477,0.197218068978618,"COL23A1","","Island"
"191","cg00237876",-3.20394031266105,0.014983589906222,-0.435911621752397,-0.0657023225862746,-0.250806972169336,"CD300LG","Unclassified","OpenSea"
"192","cg00238426",-2.91117489191778,0.0226226360974406,-0.404963555581882,-0.0419525240804157,-0.223458039831149,"SLC46A2","","N_Shore"
"193","cg00240719",3.62438334488605,0.00846074880236512,0.0485455366319424,0.230789830541165,0.139667683586554,"NA","","N_Shore"
"194","cg00242998",-3.80650021947623,0.00665817271673621,-0.505742957342828,-0.118166246611552,-0.31195460197719,"NA","","S_Shelf"
"195","cg00244328",-4.75959134301569,0.00206043970542948,-0.532366833260799,-0.178967218115851,-0.355667025688325,"ATP8A1","","S_Shore"
"196","cg00247315",-2.47116013464785,0.0427602414682225,-0.220547993036698,-0.00485883433120824,-0.112703413683953,"GTDC1","Promoter_Associated","Island"
"197","cg00247614",3.14517707804678,0.0162611824367572,0.021484929411618,0.151658784168558,0.0865718567900881,"NA","","N_Shore"
"198","cg00247855",2.57735963555497,0.0366129420438804,0.0129876420882387,0.301711528833058,0.157349585460648,"FSTL4","","OpenSea"
"199","cg00248776",-2.93584568854208,0.0218418981377491,-0.210511830959165,-0.0226864545848668,-0.116599142772016,"NA","","N_Shelf"
"200","cg00249310",-2.37278268103019,0.0494036270566055,-0.588116940370451,-0.00101281368208262,-0.294564877026267,"NA","Unclassified_Cell_type_specific","OpenSea"
